,sample_id,# MS2 peaks,# MS3 peaks,# MS4 peaks,# MS5 peaks,Parent m/z,MA (lower est.),MA (upper est.),MA (mean est.),MA (est.),MA (MW est.),formula,MW,CAS,SMILES,Dataset,MA,Error
34,Alasdair-300MW/Sample_#22_Stepped_MS3,103,0,0,0,299.2691,12.28186968,18.11796758,14.63025144,"[14.67779626 14.70155383 16.1368256  15.10823814 14.60962317 12.3943194
 15.01660415 16.4298037  13.09785601 14.9547204  14.08491392 12.28186968
 14.33475539 14.12596858 13.10491357 12.39354205 15.20670423 15.20387545
 16.62317775 18.11796758]",21.09904602,C17H34N2O2,298.5,18073-84-2,OCCN1CCC(CCCC2CCN(CCO)CC2)CC1,Alasdair,8,6.630251443
35,Alasdair-300MW/Sample_#22_Stepped_MS3,103,0,0,0,299.2691,12.28186968,18.11796758,14.63025144,"[14.67779626 14.70155383 16.1368256  15.10823814 14.60962317 12.3943194
 15.01660415 16.4298037  13.09785601 14.9547204  14.08491392 12.28186968
 14.33475539 14.12596858 13.10491357 12.39354205 15.20670423 15.20387545
 16.62317775 18.11796758]",21.09904602,C17H34N2O2,298.5,18073-84-2,OCCN1CCC(CCCC2CCN(CCO)CC2)CC1,Alasdair,8,6.630251443
36,Alasdair-300MW/Sample_#23_Stepped_MS3,15,0,0,0,304.7739,11.4282188,18.60914824,15.07386013,"[13.35724    14.93497681 15.61362259 16.96390859 16.70430799 12.86171318
 16.79723458 12.67214684 15.49138287 18.60914824 15.27489677 14.55640025
 11.49751301 17.47402331 17.14767407 11.4282188  15.27175663 16.18623688
 15.39589925 13.23890193]",22.16225495,C3HBr3N2,304.8,17635-44-8,Brc1n[nH]c(Br)c1Br,Alasdair,7,8.07386013
37,Alasdair-300MW/Sample_#23_Stepped_MS3,15,0,0,0,304.7739,11.4282188,18.60914824,15.07386013,"[13.35724    14.93497681 15.61362259 16.96390859 16.70430799 12.86171318
 16.79723458 12.67214684 15.49138287 18.60914824 15.27489677 14.55640025
 11.49751301 17.47402331 17.14767407 11.4282188  15.27175663 16.18623688
 15.39589925 13.23890193]",22.16225495,C3HBr3N2,304.8,17635-44-8,Brc1n[nH]c(Br)c1Br,Alasdair,7,8.07386013
38,Alasdair-300MW/Sample_#24_Stepped_MS3,6,0,0,0,302.0649,13.38949993,24.88920576,20.4236145,"[16.96433212 17.15909805 19.92036973 23.08826613 20.64879036 18.69601664
 23.64609129 23.14401599 20.13076136 24.88920576 20.98272777 21.19339273
 20.04574676 20.19844184 23.8620493  13.38949993 19.44494351 19.76687297
 18.37733636 22.92433131]",20.28745332,C10H12ClN5O4,301.7,146-77-0,Nc1nc(Cl)nc2c1ncn2[C@@H]1O[C@H](CO)[C@@H](O)[C@H]1O,Alasdair,14,6.423614495
39,Alasdair-300MW/Sample_#24_Stepped_MS3,6,0,0,0,302.0649,13.38949993,24.88920576,20.4236145,"[16.96433212 17.15909805 19.92036973 23.08826613 20.64879036 18.69601664
 23.64609129 23.14401599 20.13076136 24.88920576 20.98272777 21.19339273
 20.04574676 20.19844184 23.8620493  13.38949993 19.44494351 19.76687297
 18.37733636 22.92433131]",20.28745332,C10H12ClN5O4,301.7,146-77-0,Nc1nc(Cl)nc2c1ncn2[C@@H]1O[C@H](CO)[C@@H](O)[C@H]1O,Alasdair,14,6.423614495
40,Alasdair-300MW/Sample_#25_Stepped_MS3,33,0,0,0,303.04085,16.2856999,23.47052976,19.89473346,"[19.04933675 18.5342499  21.8661599  19.95988    21.1084717  18.2692691
 17.08594488 23.47052976 17.13130303 20.3709077  20.31764911 16.2856999
 20.08758734 20.61515334 20.4924039  23.0728675  21.23607096 21.79722128
 18.6481339  18.49582919]",21.47304699,C12H9F3N2O2S,302.3,1038335-12-4,O=C(O)CSc1nccn1-c1ccc(C(F)(F)F)cc1,Alasdair,17,2.894733456
41,Alasdair-300MW/Sample_#25_Stepped_MS3,33,0,0,0,303.04085,16.2856999,23.47052976,19.89473346,"[19.04933675 18.5342499  21.8661599  19.95988    21.1084717  18.2692691
 17.08594488 23.47052976 17.13130303 20.3709077  20.31764911 16.2856999
 20.08758734 20.61515334 20.4924039  23.0728675  21.23607096 21.79722128
 18.6481339  18.49582919]",21.47304699,C12H9F3N2O2S,302.3,1038335-12-4,O=C(O)CSc1nccn1-c1ccc(C(F)(F)F)cc1,Alasdair,17,2.894733456
42,Alasdair-300MW/Sample_#26_Stepped_MS3,6,0,0,0,296.0237,13.58138269,23.60724589,19.03831485,"[16.41764531 20.90807656 20.07761021 19.07216139 20.08612102 17.60199074
 15.39914851 18.12455538 20.93167116 21.05755458 18.42976287 20.51045901
 18.20052241 13.58138269 21.12410133 16.63585515 23.60724589 20.2027558
 18.93236524 19.86531169]",19.09681928,C14H11Cl2NO2,296.1,15307-86-5,O=C(O)Cc1ccccc1Nc1c(Cl)cccc1Cl,Alasdair,11,8.038314847
43,Alasdair-300MW/Sample_#27_Stepped_MS3,15,0,0,0,304.9098,8.742201484,17.17382472,12.69813993,"[10.25542884 12.92554634 13.50016344 12.59715237 10.470652    9.44932334
 14.99515166 10.29166241 14.40869545 11.08887339  8.74220148 14.16847009
 13.97127394 12.86019345 17.17382472 13.58851564 13.69944271 14.59333823
 13.05584248 12.12704666]",20.15773173,C9H5ClINO,305.5,130-26-7,Oc1c(I)cc(Cl)c2cccnc12,Alasdair,9,3.698139932
