name,class,subsitute,smi
"trans-difluoroethylene carbonate, R",Ethylene carbonate,Fluoro,O=C1O[C@H](F)[C@@H](F)O1
"trans-difluoroethylene carbonate, S",Ethylene carbonate,Fluoro,O=C1O[C@@H](F)[C@H](F)O1
trifluoroethylene carbonate,Ethylene carbonate,Fluoro,C1(C(OC(=O)O1)(F)F)F
ADN,Alkane,Nitrile,C(CCC#N)CC#N
AN,Alkane,Nitrile,CC#N
AZN,Alkane,Nitrile,C(CCCC#N)CCCC#N
EPN,Ether,Nitrile,CCOCCC#N
GLN,Alkane,Nitrile,C(CC#N)CC#N
MAN,Alkane,Nitrile,C(C#N)C#N
MPN,Ether,Nitrile,COCCC#N
PMN,Alkane,Nitrile,C(CCC#N)CCC#N
SCN,Alkane,Nitrile,C(CC#N)C#N
SEN,Alkane,Nitrile,C(CCCCC#N)CCCC#N
SUN,Alkane,Nitrile,C(CCCC#N)CCC#N
FEPN,Ether,"Fluoro, Nitrile",C(COCC(F)(F)F)C#N
TMP,Ether,Phosphate,COP(=O)(OC)OC
BS,Alkane,Sulfone,CCCCS(=O)(=O)CCCC
BiBS,Alkane,Sulfone,CCCCS(=O)(=O)CC(C)C
MiPS,Alkane,Sulfone,CC(C)S(=O)(=O)C
